# GitHub ↔ Pandora Mirror Manifest
# manifest_version: 1.0.0
# generated_at_utc: 2026-08-08T15:40:17Z
# correlation_id: portfolio-instructions-2026-08-08
# classification: historical_only
# current_operational_truth: authenticated /api/operator/status
# purpose: Historical exact integrity snapshot for the 25,000-business master contract, project instructions, and mapping queue.
# verification: project_registry_entries=21; instruction_records=22; hard_canon=21; historical_snapshot=1; sha256_verified_at_capture=22; source_linked_at_capture=22; versioned_at_capture=22; approval_audited_at_capture=22; stored_bytes_utf8_at_capture=156642
# proof_model: documented != implemented != tested != deployed != production-verified.
# historical_blocker_at_capture: MCP-PANDORA-CONNECTION-001 | open | Vercel Authentication intercepts the production MCP machine route and returns HTTP 401 before MCPMaster application authorization. | issue=banataosystems/Pandoras-box#4
# historical_next_action_at_capture: Restore authorized MCP machine access with negative identity proof, then complete the Bacolod 25K Census and Platform Readiness Blueprint.
project_key,record_type,repository,path,branch,commit_sha,blob_sha,sha256,bytes_utf8,memory_item_id,canon_status,idempotency_key
banatao-25000-businesses,portfolio_operating_contract,banataosystems/Pandoras-box,docs/operating-contracts/BANATAO_25000_BUSINESSES_MASTER_INSTRUCTION.md,main,b13807366e22d8a5ce2a8561012c10f862bf5873,e98538a98af9d8f0fab61f254cc2a95682ec0aa0,cae3875775e6791bc2d03cb29305612164f2e7353de61909f981de608c162906,28271,59839718-7853-48ac-a5d4-4c44f66cfe83,hard_canon,portfolio-operating-contract:v1:banatao-25000-businesses:2026-08-08
banatao-25000-businesses,portfolio_project_mapping_queue,banataosystems/Pandoras-box,docs/operating-contracts/PORTFOLIO_PROJECT_MAPPING_QUEUE.md,main,b13807366e22d8a5ce2a8561012c10f862bf5873,ec699422d8fc9a0ecc5427c6c909259fb84bfee5,d6a86668a0cb82fd53a730f92e5a45f824e3739a7a21846553375549299cc313,1344,22ecc09d-e692-43a5-80e0-89145b5f76c1,hard_canon,portfolio-project-mapping-queue:v1:2026-08-08
mcpmaster-pandoras-box,project_custom_instruction,banataosystems/Pandoras-box,PROJECT_CUSTOM_INSTRUCTION.md,main,b13807366e22d8a5ce2a8561012c10f862bf5873,9dea3c8e9abe1c1272b3203abcbc7b133917c85e,22fb75cc9be7596be5d58ca8b800613629e88ff0f6a1fa4806f24b60f3b23dea,8719,b5d155d7-f05d-42a9-9a5d-a111577eff01,historical_snapshot,project-custom-instruction:v1:mcpmaster-pandoras-box:2026-08-08
memory,project_custom_instruction,banataosystems/pandoras-box-memory,PROJECT_CUSTOM_INSTRUCTION.md,main,81ecd5f2ac113c8d91cf94af5483bdba1b94db9f,a8835c6af12600f417a33e2b3d2ec5eeb6e71262,295d3f0286149affa2b5d614d9e77d8336f2df348f0cf2a02b2050464366abc3,7538,2883f46b-c953-4c36-a04a-e5950e8ee87e,hard_canon,project-custom-instruction:v1:memory:2026-08-08
launchos,project_custom_instruction,banataosystems/launchos,PROJECT_CUSTOM_INSTRUCTION.md,main,01c85f1ddbd7bde8cc56ed07311763a02b77c076,f4d2a7e89286c5f01de6ac03274e46fded02c8d0,69f5f57d1df477861ed2a63804c82c4bf39d6a2d46204bb9e271f7170564c230,7857,ccf50c35-df9e-4867-b27f-21e4eddd501e,hard_canon,project-custom-instruction:v1:launchos:2026-08-08
smartcity-business-registry,project_custom_instruction,banataosystems/smartcity,PROJECT_CUSTOM_INSTRUCTION.md,main,4ac8324ef13a0503fb98c2f5fc95b066a55c51cf,4f13ddb09afe9fa71a89185edb3c68140cc72998,0484aa86d526baa38fc9b35d20625855cc77e23d40750be71a3008d225e7514c,6611,c5f5a989-e26b-4f5a-a6d4-750211328609,hard_canon,project-custom-instruction:v1:smartcity-business-registry:2026-08-08
porknyeta,project_custom_instruction,banataosystems/bok,PROJECT_CUSTOM_INSTRUCTION.md,main,54289962cb45d181ad31a1af6d00cb5f612228bc,696212be1fc04cb9d9d5944a61a7aafe943517e1,56670f8f0194df70ffaafa4b627c18c7361ba261a923658f09fffc87c1aa046d,7175,1e29e6bd-f2a5-459f-b6dd-bbaf6f487924,hard_canon,project-custom-instruction:v1:porknyeta:2026-08-08
battle,project_custom_instruction,banataosystems/battle,PROJECT_CUSTOM_INSTRUCTION.md,main,622ddb44294cf984ec4f095c65947960954a634d,6dcd87c224622f9ef5d5ceb02091c079149d4fd5,c80fb271cbaabb3004246803a88014f9756fb00ed34981992fa38bef91f3a508,6760,d3b60ec3-bf60-4aeb-8968-fa3e564b6c9a,hard_canon,project-custom-instruction:v1:battle:2026-08-08
battle-intel-aegis,project_custom_instruction,banataosystems/niaa,PROJECT_CUSTOM_INSTRUCTION.md,main,d8fd8b019b15f40fb5b34d755532b9a11e0de72d,379a860ae9b73eb6201e6b55ee44ca6300055960,e908e85f13ad6f2f25c8bf782e83a543e2b08c307a4a985d07e8726ed4a5013a,7200,38a54c1f-e93d-4b72-b0eb-835c8693a156,hard_canon,project-custom-instruction:v1:battle-intel-aegis:2026-08-08
fxpass,project_custom_instruction,banataosystems/fxpass,PROJECT_CUSTOM_INSTRUCTION.md,main,9c8253384e314907d4712c112c74b4ef49b3d1ba,0b429b0658ab7483baf46fd84c5ed2ab0ad3c10e,394aa14d2911d514632ee89b76d7e4fd44c604dec06a37597d7a98355dead748,7059,2ccecd71-5f61-4e59-9560-69405cdcf006,hard_canon,project-custom-instruction:v1:fxpass:2026-08-08
